OrderNumber,WarehouseStatus,CustOrderNum,ItemNumber,Warehouse,OrderQty,ShippedQty,CancelQty
S8284698,Accepted,#24081999,A0480U054872,AS,1,0,0
V8284745,Backorder,#24081999,A0684U011,AM,1,0,0
S8284698,Accepted,#24081999,W6377R013,AS,1,0,0
S8284698,Accepted,#24081999,W51263R013,AS,1,0,0
S8284698,Accepted,#24081999,W54163R002,AS,1,0,0
S8284698,Accepted,#24081999,A0480U030832,AS,1,0,0
S8284698,Accepted,#24081999,W4587R059863,AS,1,0,0
S8284698,Accepted,#24081999,A0690U030402,AS,1,0,0
V8284745,Backorder,#24081999,W4496R032993,AS,1,0,0
S8284698,Accepted,#24081999,A0477M013,AS,1,0,0
S8284698,Accepted,#24081999,W3875R032993,AS,1,0,0
S8284698,Accepted,#24081999,W54162R032992,AS,1,0,0
UE284698,Accepted,#24081999,W54156R012,AYS009,1,0,0
S8284729,Manifested,#24082000,W3845R032993,AS,1,0,0
S8284729,Manifested,#24082000,U5013RG032992,AS,1,0,0
MP284764,Accepted,#24082002,W6557R054871,AYS042,1,0,0
S8284763,Manifested,#24082005,W54172R063551,AS,1,0,0
S8284763,Manifested,#24082005,W9811R063552,AS,1,0,0
S8284763,Manifested,#24082005,A0480U055062,AS,2,0,0
WL284763,Accepted,#24082005,W9811R063553,AYS075,1,0,0
S8284776,Waved,#24082008,W2675RG01002,AS,1,0,0
S8284776,Waved,#24082008,W2675RG00012,AS,1,0,0
V8284776,accepted,#24082008,W9609R060212,AV,1,0,0
S8284776,Waved,#24082008,W9587R012,AS,1,0,0
V8284776,accepted,#24082008,W9609R060211,AV,1,0,0
V8284776,accepted,#24082008,W51119R060211,AV,1,0,0
S8284776,Waved,#24082008,W2675RG01001,AS,1,0,0
S8284776,Waved,#24082008,W2675RG00011,AS,1,0,0
S8284765,Waved,#24082009,U3031RG012,AS,1,0,0
S8284765,Waved,#24082009,A0590U0000055,AS,1,0,0
S8284793,Accepted,#24082020,W6311R063261,AS,1,0,0
S8284813,Waved,#24082021,A0467U011,AS,1,0,0
S8284834,Waved,#24082022,W3781R013,AS,1,0,0
S8284834,Waved,#24082022,W3781R032993,AS,1,0,0
